generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,0.044864984952867636,3668616543399647546,0,0,0.1967787211631098  -0.07837805719892987
0,1,0.82254660401109,-6002590031211919202,0,0,-0.22764308665350796  0.8779095791196001
0,2,1.1397084171855734,8147214733056683252,0,0,0.5000012507192579  0.9432428989739341
0,3,1.2883664473739391,-1226356433903770473,0,0,-1.08498014114656  0.33344345951229837
0,4,1.31283572479861,-1235889598781034061,0,0,-1.1443822593303605  0.05678881341029651
0,5,1.5688584372236734,4352100873532649827,0,0,1.2360465132297431  -0.20260171360644463
0,6,1.5941723160596428,-3463323687429782577,0,0,-0.6124520441700962  1.1041172082942614
0,7,1.6747474138869305,7050614088551154823,0,0,0.42801949265702177  -1.2212889616272458
0,8,1.7425290100761521,5628226002221646158,0,0,-1.223404303938977  -0.495793222200283
0,9,1.8832352117751645,3231449431408461493,0,0,-1.192102648081383  -0.6797988586431423
0,10,1.9526898661331977,-7750079266431055046,0,0,1.2254004355316228  0.6716276042064582
0,11,2.074959951914085,7083059793998546730,0,0,-0.7575539492084875  1.225182421500043
0,12,2.100099009703778,-5783408921376479644,0,0,-1.4223912700929806  -0.27731225084199895
0,13,2.1901057235722163,-8262884343133811885,0,0,-1.4521369294780913  0.28531397024709015
0,14,2.270384571058801,-1321274626323464502,0,0,1.2677204823393797  -0.8144135004504847
0,15,2.4667636337448684,686079403609016292,0,0,0.1272219573052249  -1.5654322749082108
0,16,2.8306634471445413,-956875156278079803,0,0,-1.3386272815499844  1.0191861695660123
0,17,2.853783451024105,2352668042686110486,0,0,1.5931057508408735  -0.5619586440849913
0,18,2.9107207604894874,5023589339170592312,0,0,-0.5716641271911467  1.60745789561415
0,19,3.105807044971344,6664294456840950945,0,0,-1.7208901056057142  0.37992668950693353
0,20,3.4796194062217323,6912175298239031805,0,0,-0.9507795028520114  -1.6048793547111928
0,21,3.8682071018388866,-651084249389132620,0,0,1.7307059994989302  -0.9342718261498071
0,22,4.661793333144661,-8826024942760373139,0,0,-2.0422198111514116  0.7008078025288764
0,23,4.894918199566039,-2692036725528384243,0,0,0.606232989865215  -2.1277687284019193
0,24,5.406877175367937,-4644773130510083918,0,0,-1.4756030698731104  -1.797073386244699
0,25,5.408076218913763,7028947867941103032,0,0,-1.4441077783772416  1.8228079831249673
0,26,5.479404433154862,-941456155242032906,0,0,1.9166604936148577  1.3438069003286568
0,27,5.59702633735508,2229217654174053538,0,0,1.6353044873861133  1.7096214700599432
0,28,6.1390808183071135,-8003145565942162711,0,0,-2.4776967992803827  0.009969410356720054
0,29,6.662167410048274,-2655582945359049953,0,0,2.5780302630118808  -0.12620369663035635
0,30,6.7519298887099435,-366730902126098850,0,0,-1.8692136514956497  1.8049848236958237
0,31,7.03875704429535,-5941371244054981570,0,0,1.215999241492308  -2.3579870417340043
0,32,7.415030245730516,-6140734768720475395,0,0,2.6827300363310504  0.4668937758181366
0,33,7.54555817568582,6293629975949944644,0,0,-0.520070316269047  -2.6972365565188445
0,34,7.60161419541283,-581357820332081986,0,0,-2.659287954487877  -0.7278748316355719
0,35,7.692878067469524,2035672385010652364,0,0,1.3700294902537635  -2.4116171469170924
0,36,7.870332955183087,5645011978683535275,0,0,1.5962325947784004  -2.3070271906828714
0,37,7.925131207268623,-1344316515807606263,0,0,1.6721205817672287  -2.2647613488619607
0,38,7.991472188010782,-3576367576674565145,0,0,-2.4097523373012972  -1.47802769286699
0,39,8.247797239183633,6070499764720871404,0,0,-0.9213540311351514  2.720092643366148
0,40,8.404177330938902,-6209705974895457258,0,0,-2.3967352669651394  -1.6309007912881897
0,41,8.604364433204072,-3395876845057338359,0,0,2.1443963913453032  2.0014815887210435
0,42,9.254349161384123,-2916869137466421414,0,0,-0.08470900527521419  -3.040916563440932
0,43,9.458195562902914,-6551036920443283907,0,0,-2.7501341973780846  -1.3765745382341312
0,44,9.736947124359537,-8267582762948710619,0,0,-1.0430316788713698  -2.9409236714390103
0,45,10.316111486159878,8949133334805118631,0,0,-2.9648120704700385  -1.2353140786678671
0,46,10.780118487686055,-523058989426225373,0,0,2.5240658246306014  2.0998119441078282
0,47,11.1361563196835,-8886455489642158939,0,0,-1.5466915652150943  -2.957008880909217
0,48,11.271075715583304,-5353750359106691491,0,0,-1.520196925708475  2.9933387751221554
0,49,11.589489141958216,-9108189090349588730,0,0,3.3028294134003984  0.8251103004661839
0,50,11.649555396051506,-4288401578736536791,0,0,-1.379952025878588  -3.121744352493504
0,51,11.737705463891864,4734785281640744993,0,0,2.5140622204441163  2.327487189143576
0,52,11.910294391573778,-1853598320072843406,0,0,2.3711784666432543  -2.507550013639035
0,53,12.217820229811263,-563886094069734150,0,0,1.91758547048238  2.92244524212279
0,54,12.54034586223472,500953012293068644,0,0,3.5104709430388334  0.4657677750926563
0,55,12.776463895228478,-7050229690777724476,0,0,-3.554090456150756  -0.38066379487231394
0,56,13.859613939180385,6609772540747952517,0,0,-1.8238961044629276  3.2454609748547805
0,57,13.96658149313436,6987749808583120950,0,0,-0.4897762480059713  -3.704956237261589
0,58,14.271765058034324,4505486521958372391,0,0,0.36923517334680245  3.7597114842495403
0,59,14.31021111870266,8644595236908833136,0,0,2.2317067464046625  3.0544551260011295
0,60,14.546362191858147,-465902807510723896,0,0,-3.700696133392876  -0.9226106004968537
0,61,14.557474795954906,-3569394160135499437,0,0,-3.121549787936029  2.1939466076893117
0,62,14.605356063402203,2342570582975060898,0,0,-3.2798129913996004  1.9616785681779287
