generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,0.0005415357918912701,-1206704479692906044,0,0,9  3  7  6  2  5  1  0  4  8
0,1,0.0004925728209136377,7577541940527073737,0,0,2  6  0  1  7  5  9  3  8  4
0,2,0.0004894573014748139,-8219873142766970052,0,0,1  8  9  3  0  5  4  6  2  7
0,3,0.0004808902098001322,-5806430400023645865,0,0,0  5  4  7  2  6  8  3  9  1
0,4,0.00047087940162412903,-5864925071665092641,0,0,2  4  3  9  5  7  0  1  8  6
0,5,0.00046569858821138564,-6397827574968836912,0,0,5  4  9  8  3  2  6  7  1  0
0,6,0.0004534505997381861,51807574041657445,0,0,8  1  4  6  7  0  5  2  3  9
0,7,0.0004510544051410255,-1712209067978166794,0,0,5  4  1  3  7  2  6  9  8  0
0,8,0.00045100759820108536,-4652326052907861454,0,0,0  1  7  5  4  2  9  6  3  8
0,9,0.00045085753674534374,2205784186069449115,0,0,7  1  5  4  8  0  9  3  6  2
0,10,0.0004462897254197282,-490582758383211286,0,0,9  0  8  7  4  6  2  5  1  3
0,11,0.00044312304503310254,7914036230399084142,0,0,6  4  2  1  8  0  5  7  9  3
0,12,0.00044288789155166484,-8047648460680454384,0,0,4  2  5  3  9  8  6  0  1  7
0,13,0.0004412582328390629,-275139087069266599,0,0,1  7  2  6  4  0  5  9  8  3
0,14,0.00043410461502706773,6216169971402422997,0,0,1  6  2  7  8  4  5  9  3  0
0,15,0.00043297020408839736,-3424105525100056296,0,0,6  8  0  1  2  4  5  9  3  7
0,16,0.0004316595641619569,5156693503489636882,0,0,6  2  8  9  7  1  0  5  4  3
0,17,0.0004298804210893534,6047776872333845504,0,0,7  4  9  3  5  0  8  1  2  6
0,18,0.0004276657520427962,-3592397740957567506,0,0,7  8  5  3  9  1  4  0  2  6
0,19,0.00042726833142192275,4782305081994680762,0,0,5  8  3  9  2  0  1  6  4  7
0,20,0.0004250604424763885,-3325166573938586738,0,0,3  6  5  7  1  2  4  0  9  8
